Country or region,Avg. Rank,Avg. Happiness,Avg. GDP,Avg. Family,Avg. Health,Avg. Freedom,Avg. Generosity,Avg. Corruption
Hungary,80.2,5.329399976348876,1.20407438685608,1.2575846183853139,0.7365786905059812,0.23053670386219022,0.08948033248186113,0.03018738748192788
Honduras,86.2,5.240800046539306,0.6564366235466004,1.058876995742798,0.6622998959884644,0.3966219720420838,0.2227717747297286,0.07253109050941468
Tajikistan,92.8,5.097799977874756,0.4741067270889282,1.02942265499115,0.5900430249176025,0.41176134137916554,0.2311435287179946,0.12203742924880981
Tunisia,108.4,4.728399965667724,0.9373271612396239,0.7620582919006349,0.6903824098014831,0.24517813791465765,0.05047267143988611,0.07000062976455687
Palestinian Territories,106.6,4.736600019073486,0.6568318455047608,1.0523034317245479,0.6136513947181703,0.233628212343216,0.1054446347808838,0.09329252041435242
Bangladesh,113.8,4.580199960327148,0.5239965950584413,0.6383363481140136,0.5933542067108153,0.47826733188247683,0.17895907042789463,0.1324475718774796
Iran,109.2,4.689199982452392,1.0884506213912961,0.6515182498054505,0.6911406377067566,0.30781852162265777,0.34109658264923104,0.0834182146999836
Ukraine,127.4,4.307200038909912,0.835918389881134,1.28288951361847,0.6368167904243471,0.16875895514631284,0.20008829262351982,0.01838589416325092
Iraq,116.8,4.528400043487548,1.043188097091674,0.8681106395606994,0.5448620939979554,0.21642310653877264,0.174149452802658,0.1130911509375572
South Africa,108.2,4.67519999923706,0.9798697411346439,1.2581997264785758,0.28981401407527924,0.428229347114563,0.1257304759817124,0.07129989948081969
Ghana,115.0,4.536399977111816,0.6093749648857116,0.7621469473495484,0.36335354535675035,0.42723525870323176,0.2313647887516022,0.03409727397441864
Zimbabwe,134.8,4.006600000000001,0.3440513069934844,1.007727181632996,0.2744027507781982,0.3232568414020538,0.1694086987543106,0.08999707628202439
Liberia,140.8,3.8391999984741227,0.08926035860967639,0.7890655873222353,0.3027156393594742,0.332934236486435,0.237959977054596,0.042557649814367306
India,126.0,4.297800011444092,0.7307142496299744,0.5881165193481446,0.4989255233669282,0.4615394009990693,0.22371369789218898,0.08847337705183031
Haiti,139.0,3.8655999851226803,0.3228620525741578,0.616215964389801,0.3357462260074616,0.08926797146523,0.44833075617790225,0.1260764299054146
Congo (Kinshasa),126.0,4.346400041961671,0.06234246976089478,1.0595966913146981,0.2076934049720764,0.23980626956367498,0.23167516666316978,0.0604482712984085
Nepal,105.6,4.812399978637695,0.43141003837203984,1.038952652259826,0.5579201561393738,0.4316491896514892,0.3371312331790924,0.07382510922431947
Ethiopia,123.4,4.4232000076293945,0.29335876909446723,0.766209840751648,0.41254794150924673,0.401274548488617,0.2560241480293274,0.1467271427736282
